,price,address,house_type,bedroom
91,"£339,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×5
92,"£90,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","46 Windsor Terrace, Ryhope Road, Grangetown,
Sunderland,
SR2 9QF",Terraced,×3
93,"£70,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","75a MARGARET HOUSE,
 Devonshire Avenue, Leeds
LS8 1AU",Terraced,×3
94,"£250,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","4A Athenaeum Street,
Sunderland,
SR1 1QX",Detached,×4
95,"£235,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","21a Lowthian Terrace, Columbia, Washington, Tyne and Wear, NE38 7BA",Semi-Detached,×3
96,"£250,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","67 Ellison Street,
Jarrow,
NE32 3JU",Bungalow,×2
97,"£150,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","21a Lowthian Terrace, Columbia, Washington, Tyne and Wear, NE38 7BA",Terraced,×3
98,"£279,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×5
99,"£145,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Imperial Buildings
1 Church Street 
Houghton Le Spring
DH4 4DJ ",Semi-Detached,×3
100,"£40,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1&2 Old Elvet,
Durham,
DH1 3HL",Bungalow,×1
101,"£40,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","25 Church Street,
Seaham,
SR7 7HQ",Flat,×2
102,"£35,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Wheeler House 2/3  Newbottle Street,
Houghton Le Spring,
DH4 4AL",Apartment,×2
103,"£50,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","4 Beaconsfield Road, Low Fell, Gateshead, NE9 5EU",Apartment,×2
104,"£149,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","55 Park View,
Whitley Bay,
NE26 2TP 
",Apartment,×2
105,"£325,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","10 Grange Road,
Jarrow,
NE32 3LD",Detached,×4
106,"£130,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","582 Durham Road,
Low Fell,
Gateshead,
NE9 6HX",Terraced,×4
107,"£179,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","9  Frederick Street,
Sunderland,
SR1 1NA ",Terraced,×3
108,"£129,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","City Office,
20 Fawcett Street,
Sunderland,
SR1 1RH ",Apartment,×2
109,"£32,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","21, Athenaeum Street,
Sunderland,
SR1 1DH",Flat,×1
110,"£540,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",Maisonette,×3
111,"£135,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Signature House, 3 Azure Court, 
Doxford International Business Park, Sunderland
SR3 3BE",Semi-Detached,×3
112,"£137,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","46 Windsor Terrace, Ryhope Road, Grangetown,
Sunderland,
SR2 9QF",Semi-Detached,×3
113,"£110,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Unit 51/52 The Galleries,
Washington Centre,
Washington,
NE38 7SD",End of Terrace,×3
114,"£94,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Signature House, 3 Azure Court, 
Doxford International Business Park, Sunderland
SR3 3BE",Semi-Detached,×2
115,"£275,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Semi-Detached,×4
